"","date","Station","Elev","Temp","MxTp","MnTp","DewP","RH","Spd","Dir","Gst","Pcp1","Pcp24","PcpAc","Sno24","SWE24","SnoHt","SWE"
"84",2021-12-23,"Badger Pass",6900,27,27,25,NA,NA,NA,NA,NA,0.1,NA,NA,1,0.4,38,9.8
"85",2021-12-24,"Badger Pass",6900,17,29,17,NA,NA,NA,NA,NA,0,NA,NA,3,0.6,41,10.4
"86",2021-12-25,"Badger Pass",6900,11,22,8,NA,NA,NA,NA,NA,0,NA,NA,2,0.299999999999999,43,10.7
"87",2021-12-26,"Badger Pass",6900,-8,19,-8,NA,NA,NA,NA,NA,0,NA,NA,3,0.300000000000001,46,11
"88",2021-12-27,"Badger Pass",6900,0,1,-17,NA,NA,NA,NA,NA,0,NA,NA,-2,0.0999999999999996,44,11.1
"89",2021-12-28,"Badger Pass",6900,1,8,0,NA,NA,NA,NA,NA,0,NA,NA,-1,0.200000000000001,43,11.3
"90",2021-12-29,"Badger Pass",6900,-16,4,-16,NA,NA,NA,NA,NA,0,NA,NA,-1,0.199999999999999,42,11.5
"91",2021-12-30,"Badger Pass",6900,4,5,-16,NA,NA,NA,NA,NA,0,NA,NA,-2,0.0999999999999996,40,11.6
"92",2021-12-31,"Badger Pass",6900,-15,8,-15,NA,NA,NA,NA,NA,0,NA,NA,1,0.200000000000001,41,11.8
"93",2022-01-01,"Badger Pass",6900,-6,-5,-16,NA,NA,NA,NA,NA,0,NA,NA,-1,0,40,11.8
"94",2022-01-02,"Badger Pass",6900,16,16,-6,NA,NA,NA,NA,NA,0,NA,NA,-1,0,39,11.8
"95",2022-01-03,"Badger Pass",6900,20,29,16,NA,NA,NA,NA,NA,0.1,NA,NA,-1,0,38,11.8
"96",2022-01-04,"Badger Pass",6900,14,28,8,NA,NA,NA,NA,NA,0,NA,NA,3,0.299999999999999,41,12.1
"97",2022-01-05,"Badger Pass",6900,-9,15,-13,NA,NA,NA,NA,NA,0,NA,NA,0,0.0999999999999996,41,12.2
"98",2022-01-06,"Badger Pass",6900,8,10,-17,NA,NA,NA,NA,NA,0.1,NA,NA,1,0.100000000000001,42,12.3
"99",2022-01-07,"Badger Pass",6900,29,29,8,NA,NA,NA,NA,NA,0,NA,NA,4,1,46,13.3
"100",2022-01-08,"Badger Pass",6900,16,30,16,NA,NA,NA,NA,NA,0,NA,NA,7,1.2,53,14.5
"101",2022-01-09,"Badger Pass",6900,19,19,15,NA,NA,NA,NA,NA,0,NA,NA,1,0.300000000000001,54,14.8
"102",2022-01-10,"Badger Pass",6900,31,33,19,NA,NA,NA,NA,NA,0.1,NA,NA,-2,0.0999999999999996,52,14.9
"103",2022-01-11,"Badger Pass",6900,27,32,24,NA,NA,NA,NA,NA,0,NA,NA,-2,0,50,14.9
"104",2022-01-12,"Badger Pass",6900,32,33,27,NA,NA,NA,NA,NA,0,NA,NA,-2,0.199999999999999,48,15.1
"105",2022-01-13,"Badger Pass",6900,34,37,32,NA,NA,NA,NA,NA,0,NA,NA,-1,0.200000000000001,47,15.3
"106",2022-01-14,"Badger Pass",6900,28,42,28,NA,NA,NA,NA,NA,0,NA,NA,-1,0,46,15.3
"107",2022-01-15,"Badger Pass",6900,30,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.0999999999999996,46,15.4
"108",2022-01-16,"Badger Pass",6900,26,33,26,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.0999999999999996,45,15.3
"109",2022-01-17,"Badger Pass",6900,32,35,25,NA,NA,NA,NA,NA,0,NA,NA,0,0.0999999999999996,45,15.4
"110",2022-01-18,"Badger Pass",6900,12,40,12,NA,NA,NA,NA,NA,0,NA,NA,-2,0,43,15.4
"111",2022-01-19,"Badger Pass",6900,16,16,2,NA,NA,NA,NA,NA,0,NA,NA,2,0.0999999999999996,45,15.5
"112",2022-01-20,"Badger Pass",6900,25,25,16,NA,NA,NA,NA,NA,0,NA,NA,0,0.0999999999999996,45,15.6
"113",2022-01-21,"Badger Pass",6900,25,32,25,NA,NA,NA,NA,NA,0,NA,NA,1,0.300000000000001,46,15.9
"114",2022-01-22,"Badger Pass",6900,24,26,24,NA,NA,NA,NA,NA,0,NA,NA,-1,0.0999999999999996,45,16
"115",2022-01-23,"Badger Pass",6900,26,27,24,NA,NA,NA,NA,NA,0,NA,NA,0,0.100000000000001,45,16.1
"116",2022-01-24,"Badger Pass",6900,24,31,23,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.100000000000001,44,16
"117",2022-01-25,"Badger Pass",6900,21,28,21,NA,NA,NA,NA,NA,0,NA,NA,5,0.600000000000001,49,16.6
"118",2022-01-26,"Badger Pass",6900,20,28,20,NA,NA,NA,NA,NA,0,NA,NA,-1,0,48,16.6
"119",2022-01-27,"Badger Pass",6900,15,29,15,NA,NA,NA,NA,NA,0,NA,NA,1,0.0999999999999979,49,16.7
"120",2022-01-28,"Badger Pass",6900,24,28,13,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,48,16.8
"121",2022-01-29,"Badger Pass",6900,27,37,24,NA,NA,NA,NA,NA,0,NA,NA,-1,0,47,16.8
"122",2022-01-30,"Badger Pass",6900,28,36,26,NA,NA,NA,NA,NA,0,NA,NA,-1,0,46,16.8
"123",2022-01-31,"Badger Pass",6900,23,32,23,NA,NA,NA,NA,NA,0,NA,NA,4,0.59,50,17.39
"124",2022-02-01,"Badger Pass",6900,9,23,3,NA,NA,NA,NA,NA,0,NA,NA,5,0.5,55,17.89
"125",2022-02-02,"Badger Pass",6900,-22,11,-22,NA,NA,NA,NA,NA,0,NA,NA,-3,0.210000000000001,52,18.1
"126",2022-02-03,"Badger Pass",6900,8,8,-22,NA,NA,NA,NA,NA,0,NA,NA,0,0.0999999999999979,52,18.2
"127",2022-02-04,"Badger Pass",6900,24,24,8,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,51,18.3
"128",2022-02-05,"Badger Pass",6900,25,28,24,NA,NA,NA,NA,NA,0,NA,NA,5,0.899999999999999,56,19.2
"129",2022-02-06,"Badger Pass",6900,23,28,22,NA,NA,NA,NA,NA,0,NA,NA,0,0.190000000000001,56,19.39
"130",2022-02-07,"Badger Pass",6900,34,34,23,NA,NA,NA,NA,NA,0.2,NA,NA,-2,0,54,19.39
"131",2022-02-08,"Badger Pass",6900,25,41,25,NA,NA,NA,NA,NA,0,NA,NA,-2,-0.0899999999999999,52,19.3
"132",2022-02-09,"Badger Pass",6900,26,29,25,NA,NA,NA,NA,NA,0,NA,NA,0,0.0899999999999999,52,19.39
"133",2022-02-10,"Badger Pass",6900,36,37,26,NA,NA,NA,NA,NA,0,NA,NA,-1,0.109999999999999,51,19.5
"134",2022-02-11,"Badger Pass",6900,22,40,22,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.109999999999999,50,19.39
"135",2022-02-12,"Badger Pass",6900,26,31,22,NA,NA,NA,NA,NA,0,NA,NA,1,0.109999999999999,51,19.5
"136",2022-02-13,"Badger Pass",6900,29,38,24,NA,NA,NA,NA,NA,0,NA,NA,-1,0,50,19.5
"137",2022-02-14,"Badger Pass",6900,32,41,29,NA,NA,NA,NA,NA,0,NA,NA,0,0,50,19.5
"138",2022-02-15,"Badger Pass",6900,24,40,24,NA,NA,NA,NA,NA,0,NA,NA,-1,0,49,19.5
"139",2022-02-16,"Badger Pass",6900,15,26,15,NA,NA,NA,NA,NA,0,NA,NA,5,0.390000000000001,54,19.89
"140",2022-02-17,"Badger Pass",6900,20,28,10,NA,NA,NA,NA,NA,0,NA,NA,0,0.210000000000001,54,20.1
"141",2022-02-18,"Badger Pass",6900,29,29,20,NA,NA,NA,NA,NA,0,NA,NA,-1,0.0999999999999979,53,20.2
"142",2022-02-19,"Badger Pass",6900,30,30,28,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,52,20.3
"143",2022-02-20,"Badger Pass",6900,24,36,24,NA,NA,NA,NA,NA,0.1,NA,NA,10,1.2,62,21.5
"144",2022-02-21,"Badger Pass",6900,-16,24,-16,NA,NA,NA,NA,NA,0,NA,NA,0,0.100000000000001,62,21.6
"145",2022-02-22,"Badger Pass",6900,-23,-11,-23,NA,NA,NA,NA,NA,0,NA,NA,-2,0,60,21.6
"146",2022-02-23,"Badger Pass",6900,-18,-13,-23,NA,NA,NA,NA,NA,0,NA,NA,-2,0,58,21.6
"147",2022-02-24,"Badger Pass",6900,-3,9,-18,NA,NA,NA,NA,NA,0,NA,NA,0,0,58,21.6
"148",2022-02-25,"Badger Pass",6900,5,11,-3,NA,NA,NA,NA,NA,0,NA,NA,-1,0.199999999999999,57,21.8
"149",2022-02-26,"Badger Pass",6900,9,12,5,NA,NA,NA,NA,NA,0,NA,NA,0,0.199999999999999,57,22
"150",2022-02-27,"Badger Pass",6900,25,28,9,NA,NA,NA,NA,NA,0,NA,NA,-1,0,56,22
"151",2022-02-28,"Badger Pass",6900,30,30,25,NA,NA,NA,NA,NA,0.1,NA,NA,3,0.600000000000001,59,22.6
"152",2022-03-01,"Badger Pass",6900,34,34,30,NA,NA,NA,NA,NA,0,NA,NA,21,1.9,80,24.5
"153",2022-03-02,"Badger Pass",6900,34,37,33,NA,NA,NA,NA,NA,0,NA,NA,-2,1,78,25.5
"154",2022-03-03,"Badger Pass",6900,33,39,33,NA,NA,NA,NA,NA,0,NA,NA,0,0.899999999999999,78,26.4
"155",2022-03-04,"Badger Pass",6900,25,38,25,NA,NA,NA,NA,NA,0,NA,NA,-3,0.5,75,26.9
"156",2022-03-05,"Badger Pass",6900,13,31,13,NA,NA,NA,NA,NA,0,NA,NA,0,0.200000000000003,75,27.1
"157",2022-03-06,"Badger Pass",6900,14,24,13,NA,NA,NA,NA,NA,0,NA,NA,-1,0.299999999999997,74,27.4
"158",2022-03-07,"Badger Pass",6900,16,25,13,NA,NA,NA,NA,NA,0,NA,NA,-2,0,72,27.4
"159",2022-03-08,"Badger Pass",6900,7,28,7,NA,NA,NA,NA,NA,0.1,NA,NA,5,0.800000000000001,77,28.2
"160",2022-03-09,"Badger Pass",6900,-4,9,-9,NA,NA,NA,NA,NA,0,NA,NA,-2,-0.199999999999999,75,28
"161",2022-03-10,"Badger Pass",6900,3,12,-4,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.100000000000001,74,27.9
"162",2022-03-11,"Badger Pass",6900,12,19,3,NA,NA,NA,NA,NA,0,NA,NA,-1,0,73,27.9
"163",2022-03-12,"Badger Pass",6900,30,30,12,NA,NA,NA,NA,NA,0,NA,NA,-1,0.400000000000002,72,28.3
"164",2022-03-13,"Badger Pass",6900,28,39,28,NA,NA,NA,NA,NA,0,NA,NA,-2,0.0999999999999979,70,28.4
"165",2022-03-14,"Badger Pass",6900,28,34,27,NA,NA,NA,NA,NA,0,NA,NA,4,0.400000000000002,74,28.8
"166",2022-03-15,"Badger Pass",6900,33,33,28,NA,NA,NA,NA,NA,0,NA,NA,0,0.399999999999999,74,29.2
"167",2022-03-16,"Badger Pass",6900,24,35,24,NA,NA,NA,NA,NA,0,NA,NA,11,1.2,85,30.4
"168",2022-03-17,"Badger Pass",6900,25,31,24,NA,NA,NA,NA,NA,0,NA,NA,-3,0.200000000000003,82,30.6
"169",2022-03-18,"Badger Pass",6900,27,37,25,NA,NA,NA,NA,NA,0.1,NA,NA,-2,0,80,30.6
"170",2022-03-19,"Badger Pass",6900,28,33,27,NA,NA,NA,NA,NA,0,NA,NA,-1,0.0999999999999979,79,30.7
"171",2022-03-20,"Badger Pass",6900,23,45,23,NA,NA,NA,NA,NA,0,NA,NA,-1,0,78,30.7
"172",2022-03-21,"Badger Pass",6900,21,27,20,NA,NA,NA,NA,NA,0,NA,NA,0,0.100000000000001,78,30.8
"173",2022-03-22,"Badger Pass",6900,26,30,21,NA,NA,NA,NA,NA,0,NA,NA,-1,0,77,30.8
"174",2022-03-23,"Badger Pass",6900,33,40,23,NA,NA,NA,NA,NA,0,NA,NA,-2,0.0999999999999979,75,30.9
"175",2022-03-24,"Badger Pass",6900,34,49,33,NA,NA,NA,NA,NA,0,NA,NA,-3,0.100000000000001,72,31
"176",2022-03-25,"Badger Pass",6900,24,40,22,NA,NA,NA,NA,NA,0,NA,NA,0,-0.300000000000001,72,30.7
"177",2022-03-26,"Badger Pass",6900,32,46,23,NA,NA,NA,NA,NA,0,NA,NA,-2,-0.0999999999999979,70,30.6
"178",2022-03-27,"Badger Pass",6900,35,46,32,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.100000000000001,69,30.5
"179",2022-03-28,"Badger Pass",6900,41,54,34,NA,NA,NA,NA,NA,0,NA,NA,-2,0.199999999999999,67,30.7
"180",2022-03-29,"Badger Pass",6900,23,51,23,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.0999999999999979,66,30.6
"181",2022-03-30,"Badger Pass",6900,30,40,23,NA,NA,NA,NA,NA,0,NA,NA,0,0,66,30.6
"182",2022-03-31,"Badger Pass",6900,25,41,25,NA,NA,NA,NA,NA,0.1,NA,NA,4,0.399999999999999,70,31
"183",2022-04-01,"Badger Pass",6900,23,32,23,NA,NA,NA,NA,NA,0,NA,NA,1,0.300000000000001,71,31.3
"184",2022-04-02,"Badger Pass",6900,27,33,23,NA,NA,NA,NA,NA,0,NA,NA,-2,0,69,31.3
"185",2022-04-03,"Badger Pass",6900,23,32,23,NA,NA,NA,NA,NA,0,NA,NA,1,0.199999999999999,70,31.5
"186",2022-04-04,"Badger Pass",6900,30,41,22,NA,NA,NA,NA,NA,0,NA,NA,-1,0.199999999999999,69,31.7
"187",2022-04-05,"Badger Pass",6900,20,33,20,NA,NA,NA,NA,NA,0,NA,NA,5,0.59,74,32.29
"188",2022-04-06,"Badger Pass",6900,23,26,19,NA,NA,NA,NA,NA,0,NA,NA,1,0.310000000000002,75,32.6
"189",2022-04-07,"Badger Pass",6900,24,35,22,NA,NA,NA,NA,NA,0,NA,NA,-3,0,72,32.6
"190",2022-04-08,"Badger Pass",6900,37,49,24,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,71,32.7
"191",2022-04-09,"Badger Pass",6900,21,52,21,NA,NA,NA,NA,NA,0,NA,NA,1,0.799999999999997,72,33.5
"192",2022-04-10,"Badger Pass",6900,18,28,18,NA,NA,NA,NA,NA,0,NA,NA,3,0,75,33.5
"193",2022-04-11,"Badger Pass",6900,12,34,12,NA,NA,NA,NA,NA,0,NA,NA,3,0.289999999999999,78,33.79
"194",2022-04-12,"Badger Pass",6900,6,19,6,NA,NA,NA,NA,NA,0,NA,NA,4,0.910000000000004,82,34.7
"195",2022-04-13,"Badger Pass",6900,2,11,2,NA,NA,NA,NA,NA,0,NA,NA,-1,0.299999999999997,81,35
"196",2022-04-14,"Badger Pass",6900,3,15,2,NA,NA,NA,NA,NA,0,NA,NA,0,0.200000000000003,81,35.2
"197",2022-04-15,"Badger Pass",6900,5,18,3,NA,NA,NA,NA,NA,0,NA,NA,-1,0,80,35.2
"198",2022-04-16,"Badger Pass",6900,14,24,3,NA,NA,NA,NA,NA,0,NA,NA,-1,0,79,35.2
"199",2022-04-17,"Badger Pass",6900,17,24,14,NA,NA,NA,NA,NA,0,NA,NA,2,0.589999999999996,81,35.79
"200",2022-04-18,"Badger Pass",6900,15,29,15,NA,NA,NA,NA,NA,0,NA,NA,3,0.109999999999999,84,35.9
"201",2022-04-19,"Badger Pass",6900,29,43,15,NA,NA,NA,NA,NA,0,NA,NA,-2,0.200000000000003,82,36.1
"202",2022-04-20,"Badger Pass",6900,23,30,23,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,81,36.2
"203",2022-04-21,"Badger Pass",6900,24,30,23,NA,NA,NA,NA,NA,0,NA,NA,-1,0.199999999999996,80,36.4
"204",2022-04-22,"Badger Pass",6900,27,45,24,NA,NA,NA,NA,NA,0,NA,NA,0,0.390000000000001,80,36.79
"205",2022-04-23,"Badger Pass",6900,29,39,27,NA,NA,NA,NA,NA,0,NA,NA,-2,0.109999999999999,78,36.9
"206",2022-04-24,"Badger Pass",6900,25,40,25,NA,NA,NA,NA,NA,0,NA,NA,0,0.100000000000001,78,37
"207",2022-04-25,"Badger Pass",6900,32,49,25,NA,NA,NA,NA,NA,0,NA,NA,-2,0.289999999999999,76,37.29
"208",2022-04-26,"Badger Pass",6900,38,53,32,NA,NA,NA,NA,NA,0,NA,NA,-1,0.210000000000001,75,37.5
"209",2022-04-27,"Badger Pass",6900,26,50,26,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.210000000000001,74,37.29
"210",2022-04-28,"Badger Pass",6900,26,40,26,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.289999999999999,73,37
"211",2022-04-29,"Badger Pass",6900,30,45,26,NA,NA,NA,NA,NA,0,NA,NA,0,-0.299999999999997,73,36.7
"212",2022-04-30,"Badger Pass",6900,27,42,27,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.200000000000003,72,36.5
"213",2022-05-01,"Badger Pass",6900,32,45,27,NA,NA,NA,NA,NA,0,NA,NA,1,0,73,36.5
"214",2022-05-02,"Badger Pass",6900,32,46,32,NA,NA,NA,NA,NA,0,NA,NA,-2,-0.100000000000001,71,36.4
"215",2022-05-03,"Badger Pass",6900,36,51,32,NA,NA,NA,NA,NA,0,NA,NA,-1,0.200000000000003,70,36.6
